pair_id,piece_id,split,context_file,target_file,context_ntokens,target_ntokens,compound_sim,sim_bucket,tgt_key_shift
0,00001,val,00001_s0_A_11-28.npy,00001_s1_B_29-39.npy,242,162,0.586634,sim:low,0
1,00001,val,00001_s1_B_29-39.npy,00001_s0_A_11-28.npy,162,242,0.586634,sim:low,0
2,00002,train,00002_s0_A_5-20.npy,00002_s1_B_25-32.npy,175,92,0.541517,sim:low,0
3,00002,train,00002_s0_A_5-20.npy,00002_s2_A_33-40.npy,175,72,0.597968,sim:low,0
4,00002,train,00002_s0_A_5-20.npy,00002_s3_C_41-52.npy,175,199,0.573615,sim:low,0
5,00002,train,00002_s0_A_5-20.npy,00002_s4_D_53-64.npy,175,172,0.515387,sim:low,0
6,00002,train,00002_s1_B_25-32.npy,00002_s0_A_5-20.npy,92,175,0.541517,sim:low,0
7,00002,train,00002_s1_B_25-32.npy,00002_s2_A_33-40.npy,92,72,0.741813,sim:mid,0
8,00002,train,00002_s1_B_25-32.npy,00002_s3_C_41-52.npy,92,199,0.458806,sim:low,0
9,00002,train,00002_s1_B_25-32.npy,00002_s4_D_53-64.npy,92,172,0.593124,sim:low,0
10,00002,train,00002_s2_A_33-40.npy,00002_s0_A_5-20.npy,72,175,0.597968,sim:low,0
11,00002,train,00002_s2_A_33-40.npy,00002_s1_B_25-32.npy,72,92,0.741813,sim:mid,0
12,00002,train,00002_s2_A_33-40.npy,00002_s3_C_41-52.npy,72,199,0.484508,sim:low,0
13,00002,train,00002_s2_A_33-40.npy,00002_s4_D_53-64.npy,72,172,0.827566,sim:high,0
14,00002,train,00002_s3_C_41-52.npy,00002_s0_A_5-20.npy,199,175,0.573615,sim:low,0
15,00002,train,00002_s3_C_41-52.npy,00002_s1_B_25-32.npy,199,92,0.458806,sim:low,0
16,00002,train,00002_s3_C_41-52.npy,00002_s2_A_33-40.npy,199,72,0.484508,sim:low,0
17,00002,train,00002_s3_C_41-52.npy,00002_s4_D_53-64.npy,199,172,0.496597,sim:low,0
18,00002,train,00002_s4_D_53-64.npy,00002_s0_A_5-20.npy,172,175,0.515387,sim:low,0
